epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,971.054,0.72329,0.63927,1.1361,0.85873,0.56023,0.62475,0.48875,0.711,1.03509,1.17529,0.00106562,0.00106562,0.00106562
43,993.917,0.73757,0.65262,1.14869,0.83498,0.55811,0.60895,0.46847,0.76935,0.85168,1.22516,0.00106342,0.00106342,0.00106342
44,1017.01,0.71529,0.63897,1.13913,0.84335,0.60397,0.64585,0.50916,0.74369,0.75566,1.19314,0.00106116,0.00106116,0.00106116
45,1039.93,0.72315,0.64954,1.13238,0.86828,0.5885,0.62871,0.49895,0.74152,0.79866,1.18712,0.00105886,0.00105886,0.00105886
46,1062.98,0.71102,0.6478,1.13986,0.80715,0.63359,0.64934,0.50791,0.7536,0.72915,1.21672,0.00105651,0.00105651,0.00105651
47,1085.91,0.69758,0.64596,1.1356,0.82211,0.62976,0.66952,0.52971,0.70141,0.73167,1.19895,0.00105411,0.00105411,0.00105411
48,1109,0.69834,0.62618,1.1226,0.81809,0.6031,0.63515,0.49206,0.73403,0.79625,1.19704,0.00105166,0.00105166,0.00105166
49,1132.26,0.71017,0.62066,1.11511,0.89329,0.5826,0.64594,0.51474,0.7125,0.74824,1.16805,0.00104916,0.00104916,0.00104916
50,1155.22,0.68254,0.69153,1.13328,0.61215,0.71284,0.65721,0.5217,0.7094,0.70195,1.18357,0.00104661,0.00104661,0.00104661
51,1178.2,0.66893,0.5874,1.10052,0.87582,0.58446,0.66445,0.52521,0.71825,0.71335,1.17146,0.00104402,0.00104402,0.00104402
52,1201.17,0.69728,0.6126,1.12467,0.86923,0.59479,0.63387,0.49803,0.73643,0.8127,1.19258,0.00104138,0.00104138,0.00104138
53,1224.17,0.67043,0.61136,1.10818,0.77311,0.62602,0.63254,0.48749,0.74723,0.78319,1.23324,0.00103869,0.00103869,0.00103869
54,1247.23,0.713,0.59454,1.13686,0.82156,0.58598,0.62815,0.49976,0.71644,0.78645,1.19433,0.00103595,0.00103595,0.00103595
55,1270.18,0.66654,0.58362,1.11382,0.58541,0.70645,0.66105,0.52549,0.70214,0.67552,1.21675,0.00103317,0.00103317,0.00103317
56,1293.35,0.67574,0.57694,1.1099,0.8457,0.61753,0.6459,0.511,0.73519,0.70682,1.20376,0.00103034,0.00103034,0.00103034
57,1316.17,0.67804,0.58444,1.09814,0.82742,0.62016,0.64552,0.49845,0.74982,0.82271,1.20388,0.00102747,0.00102747,0.00102747
58,1339.27,0.65525,0.56744,1.09438,0.87144,0.61597,0.65263,0.51264,0.72942,0.73519,1.21143,0.00102455,0.00102455,0.00102455
59,1362.29,0.69378,0.5876,1.13354,0.87085,0.62531,0.65305,0.51731,0.75009,0.73248,1.20778,0.00102158,0.00102158,0.00102158
60,1385.13,0.64979,0.58024,1.10429,0.85808,0.62814,0.65017,0.52804,0.7249,0.64886,1.19274,0.00101857,0.00101857,0.00101857
61,1408.05,0.65677,0.55017,1.1139,0.88353,0.61078,0.65756,0.52185,0.71162,0.7462,1.18884,0.00101552,0.00101552,0.00101552
62,1431.14,0.67382,0.56496,1.10353,0.80964,0.64588,0.64306,0.49535,0.7498,0.71808,1.23757,0.00101242,0.00101242,0.00101242
63,1454.32,0.67074,0.5678,1.11563,0.85176,0.61019,0.64568,0.50371,0.72871,0.65394,1.2075,0.00100928,0.00100928,0.00100928
64,1477.23,0.6596,0.54606,1.11754,0.85355,0.61223,0.64931,0.52889,0.70805,0.68167,1.19482,0.00100609,0.00100609,0.00100609
65,1500.23,0.62831,0.5513,1.07803,0.80796,0.60672,0.61487,0.49385,0.74945,0.74535,1.23782,0.00100286,0.00100286,0.00100286
66,1523.27,0.64885,0.54099,1.10153,0.81317,0.60667,0.63596,0.49755,0.78557,0.80195,1.24515,0.000999584,0.000999584,0.000999584
67,1546.29,0.64067,0.53632,1.08672,0.84994,0.59145,0.63597,0.50692,0.71401,0.71283,1.17906,0.000996268,0.000996268,0.000996268
68,1569.27,0.61154,0.5054,1.06201,0.84436,0.6139,0.65215,0.51998,0.72201,0.6999,1.21209,0.00099291,0.00099291,0.00099291
69,1592.34,0.66192,0.54621,1.1066,0.85394,0.60595,0.64377,0.51377,0.66627,0.70315,1.17312,0.00098951,0.00098951,0.00098951
70,1615.54,0.65142,0.55999,1.08399,0.87802,0.62098,0.65651,0.51821,0.71927,0.69883,1.19803,0.000986068,0.000986068,0.000986068
71,1638.45,0.66001,0.54223,1.08903,0.68103,0.67707,0.65831,0.52358,0.73609,0.69843,1.2287,0.000982585,0.000982585,0.000982585
72,1661.45,0.64253,0.5426,1.09186,0.83997,0.63819,0.65572,0.52386,0.72974,0.69985,1.19931,0.000979062,0.000979062,0.000979062
73,1684.43,0.62475,0.55262,1.08015,0.8417,0.64537,0.66106,0.52534,0.7101,0.66915,1.19474,0.000975498,0.000975498,0.000975498
74,1707.35,0.65451,0.55943,1.09431,0.85861,0.65473,0.66122,0.52532,0.72264,0.68461,1.20048,0.000971894,0.000971894,0.000971894
75,1730.31,0.62232,0.51976,1.07633,0.88604,0.60323,0.6511,0.5177,0.75149,0.70299,1.23697,0.000968251,0.000968251,0.000968251
76,1753.38,0.62427,0.51267,1.08386,0.66243,0.63088,0.65506,0.50939,0.72348,0.68855,1.21393,0.000964568,0.000964568,0.000964568
77,1776.5,0.61077,0.52007,1.07444,0.80903,0.65045,0.64425,0.51008,0.72412,0.65734,1.21345,0.000960847,0.000960847,0.000960847
78,1799.59,0.64018,0.5161,1.10666,0.66999,0.61437,0.65061,0.51055,0.72359,0.68255,1.21524,0.000957087,0.000957087,0.000957087
79,1822.67,0.63295,0.54912,1.07861,0.84454,0.64899,0.67296,0.53561,0.68406,0.67577,1.18058,0.000953289,0.000953289,0.000953289
80,1845.69,0.62889,0.53821,1.08353,0.64226,0.65341,0.66211,0.51725,0.70948,0.68182,1.20259,0.000949454,0.000949454,0.000949454
81,1868.59,0.61856,0.51865,1.079,0.58822,0.66774,0.64607,0.50427,0.70522,0.75604,1.21452,0.000945582,0.000945582,0.000945582
82,1891.57,0.61418,0.51725,1.07549,0.85691,0.60734,0.64682,0.508,0.7414,0.70113,1.25276,0.000941673,0.000941673,0.000941673
83,1914.77,0.61668,0.51853,1.08422,0.85576,0.61697,0.65705,0.53318,0.67553,0.66191,1.1764,0.000937728,0.000937728,0.000937728
84,1937.67,0.59039,0.48533,1.07977,0.87696,0.60133,0.64449,0.5242,0.69118,0.70193,1.16862,0.000933747,0.000933747,0.000933747
85,1960.6,0.64636,0.51678,1.08445,0.84504,0.60079,0.63204,0.5096,0.70587,0.7796,1.18754,0.00092973,0.00092973,0.00092973
86,1983.63,0.60902,0.50697,1.05694,0.69192,0.61504,0.65717,0.52997,0.71865,0.6649,1.21877,0.000925679,0.000925679,0.000925679
87,2006.57,0.60624,0.49595,1.06372,0.88428,0.60248,0.66634,0.51967,0.72838,0.68028,1.22778,0.000921593,0.000921593,0.000921593
88,2029.59,0.57588,0.49361,1.04431,0.81772,0.63712,0.64614,0.51376,0.692,0.76493,1.19717,0.000917473,0.000917473,0.000917473
89,2052.64,0.61123,0.52319,1.06611,0.6636,0.61714,0.64729,0.51654,0.70713,0.68053,1.18466,0.000913319,0.000913319,0.000913319
90,2075.93,0.58484,0.48958,1.0567,0.61686,0.68316,0.64379,0.50283,0.75753,0.67802,1.23438,0.000909133,0.000909133,0.000909133
91,2098.81,0.6407,0.50201,1.0817,0.87307,0.56254,0.63369,0.49501,0.73648,0.77775,1.23656,0.000904913,0.000904913,0.000904913
92,2121.83,0.6148,0.51815,1.08226,0.84776,0.59992,0.6225,0.49918,0.68654,0.72164,1.18864,0.000900662,0.000900662,0.000900662
93,2144.74,0.58603,0.46886,1.05174,0.84987,0.6385,0.64455,0.50192,0.71313,0.69614,1.23944,0.000896378,0.000896378,0.000896378
94,2167.75,0.57873,0.43702,1.05956,0.63339,0.66945,0.64899,0.51638,0.70024,0.73034,1.17971,0.000892064,0.000892064,0.000892064
95,2190.77,0.60717,0.48302,1.06826,0.60102,0.68154,0.64144,0.50934,0.68216,0.72757,1.1764,0.000887718,0.000887718,0.000887718
96,2213.88,0.59105,0.47857,1.05614,0.86377,0.60547,0.65349,0.52647,0.70118,0.66893,1.19895,0.000883342,0.000883342,0.000883342
97,2236.91,0.60632,0.48416,1.0646,0.619,0.61119,0.62226,0.49652,0.72615,0.69144,1.21398,0.000878937,0.000878937,0.000878937
98,2259.95,0.57692,0.47617,1.04449,0.83992,0.61074,0.65763,0.51405,0.69117,0.73888,1.19985,0.000874502,0.000874502,0.000874502
99,2282.91,0.57958,0.45959,1.05314,0.87056,0.63708,0.66289,0.52996,0.68317,0.65225,1.19964,0.000870038,0.000870038,0.000870038
100,2305.83,0.57991,0.46613,1.05141,0.59811,0.70009,0.65516,0.53168,0.67298,0.68566,1.18704,0.000865545,0.000865545,0.000865545
101,2328.68,0.56034,0.45796,1.03676,0.63101,0.63838,0.64348,0.52445,0.68548,0.66754,1.18346,0.000861025,0.000861025,0.000861025
102,2351.6,0.58596,0.47676,1.06145,0.85551,0.63333,0.64437,0.50096,0.72935,0.68014,1.23993,0.000856477,0.000856477,0.000856477
103,2374.62,0.59279,0.48723,1.08016,0.88807,0.61765,0.66574,0.53366,0.66662,0.64029,1.169,0.000851903,0.000851903,0.000851903
104,2397.66,0.57616,0.47271,1.07265,0.64055,0.64483,0.66964,0.53101,0.69151,0.68236,1.20312,0.000847302,0.000847302,0.000847302
105,2420.73,0.56567,0.45553,1.04653,0.88512,0.6298,0.6705,0.53676,0.68231,0.62796,1.19821,0.000842675,0.000842675,0.000842675
106,2443.71,0.56623,0.44506,1.05326,0.8477,0.63186,0.64472,0.52031,0.71093,0.67699,1.2028,0.000838023,0.000838023,0.000838023
107,2466.76,0.56972,0.47131,1.04694,0.66293,0.60964,0.63647,0.50542,0.73947,0.70641,1.27078,0.000833345,0.000833345,0.000833345
108,2489.69,0.551,0.45613,1.03487,0.87658,0.62864,0.65069,0.51851,0.70505,0.66844,1.21902,0.000828644,0.000828644,0.000828644
109,2512.6,0.56355,0.44509,1.04481,0.87791,0.62523,0.66609,0.53465,0.67033,0.64649,1.20033,0.000823918,0.000823918,0.000823918
110,2535.63,0.56138,0.48591,1.03193,0.87324,0.59997,0.65736,0.51738,0.71248,0.70119,1.24744,0.00081917,0.00081917,0.00081917
111,2558.86,0.55681,0.46457,1.02999,0.64857,0.64745,0.66114,0.51945,0.72088,0.69288,1.24122,0.000814398,0.000814398,0.000814398
112,2582.11,0.58372,0.46892,1.06042,0.69237,0.6246,0.66007,0.51302,0.7435,0.63027,1.26751,0.000809604,0.000809604,0.000809604
113,2605.21,0.56662,0.45336,1.03631,0.63321,0.62043,0.62626,0.5027,0.69308,0.67826,1.21621,0.000804788,0.000804788,0.000804788
114,2628.42,0.5739,0.49156,1.06202,0.85308,0.61349,0.63646,0.50701,0.71184,0.67539,1.19646,0.000799952,0.000799952,0.000799952
115,2651.55,0.57678,0.47576,1.0454,0.68252,0.59796,0.65039,0.51727,0.75049,0.71856,1.26826,0.000795094,0.000795094,0.000795094
116,2674.85,0.60966,0.47918,1.08268,0.62564,0.61318,0.63319,0.50746,0.70798,0.70348,1.22523,0.000790216,0.000790216,0.000790216
117,2697.95,0.56059,0.45668,1.04933,0.8738,0.60523,0.63083,0.501,0.71757,0.76037,1.23503,0.000785319,0.000785319,0.000785319
118,2721.13,0.57775,0.45196,1.05343,0.84391,0.62861,0.6461,0.51346,0.69874,0.67405,1.20135,0.000780402,0.000780402,0.000780402
119,2744.44,0.54646,0.46006,1.03589,0.8539,0.63122,0.65169,0.52066,0.67727,0.65356,1.18675,0.000775467,0.000775467,0.000775467
120,2767.55,0.52176,0.41293,1.01857,0.62109,0.62516,0.62663,0.50246,0.68611,0.67177,1.21234,0.000770514,0.000770514,0.000770514
